	Argentina	Australia	Austria	Belarus	Belgium	Brazil	Canada	Chile	China	Colombia	Czech Republic	Denmark	Egypt	Finland	France	Germany	Greece	Hungary	India	Indonesia	Iran	Ireland	Israel	Italy	Japan	Mexico	Netherlands	Norway	Poland	Portugal	Romania	Russia	Saudi Arabia	South Korea	Spain	Thailand	Turkey	Ukraine	United Kingdom	United States
2020-03-12	0.4318181818181818	4.921875	27.95454545454545	1.276595744680851	27.78761061946903	0.2469135802469136	2.806539509536785	1.2568306010928962	56.99436619718311	0.18292682926829268	8.867924528301886	88.96551724137932	0.6	10.727272727272727	34.04477611940299	18.87951807228916	9.25233644859813	1.326530612244898	0.05632716049382716	0.1298205421916762	111.11111111111113	9.148936170212767	9.318181818181818	206.32450331125833	4.9401436552274545	0.08835341365461846	29.075144508670522	92.26415094339623	0.8093994778067886	5.462962962962963	2.34375	0.17029972752043596	1.4195583596214512	153.09338521400778	93.99150743099787	1.044776119402985	0.012077294685990341	0.026881720430107527	6.909090909090909	4.024539877300613
2020-03-13	0.7045454545454545	6.09375	41.02272727272727	2.2340425531914896	35.309734513274336	0.365622032288699	3.760217983651226	1.8032786885245904	57.00985915492958	0.18292682926829268	10.943396226415095	116.55172413793105	0.7999999999999999	28.18181818181818	42.92537313432836	28.5421686746988	12.429906542056074	1.6326530612244896	0.05787037037037038	0.1298205421916762	124.38271604938272	14.893617021276595	10.909090909090908	250.21523178807945	5.387071029529131	0.1285140562248996	35.491329479768794	117.16981132075472	1.279373368146214	7.222222222222222	3.333333333333333	0.20435967302452315	1.9558359621451105	155.23346303501947	126.4968152866242	1.044776119402985	0.024154589371980683	0.08064516129032258	8.939393939393938	5.101226993865031
2020-03-14	0.7727272727272727	7.6953125	57.27272727272727	2.2340425531914896	49.46902654867257	0.4653371320037986	4.795640326975477	2.349726775956284	57.02323943661972	0.3252032520325203	14.150943396226413	138.6206896551724	0.93	33.27272727272727	54.64179104477611	36.89156626506024	17.75700934579439	2.5510204081632653	0.0640432098765432	0.2634593356242841	140.2962962962963	19.361702127659573	13.181818181818182	292.3841059602649	5.881883479648843	0.20883534136546186	46.47398843930635	117.16981132075472	1.7754569190600522	10.370370370370368	4.635416666666666	0.3065395095367848	2.7129337539432177	157.3151750972763	162.22929936305732	1.2238805970149254	0.024154589371980683	0.08064516129032258	10.712121212121213	6.668711656441718
2020-03-15	1.0227272727272727	9.7265625	74.43181818181819	2.2340425531914896	60.97345132743364	0.5745489078822412	6.648501362397821	3.333333333333333	57.038732394366185	0.6910569105691057	20.18867924528302	142.58620689655172	0.93	38.18181818181818	67.14925373134328	45.722891566265055	21.30841121495327	3.1632653061224487	0.06944444444444442	0.3665521191294388	157.14814814814815	27.446808510638288	20.227272727272727	350.28145695364236	6.225059856344773	0.3293172690763052	55.43352601156069	171.13207547169813	2.715404699738903	15.648148148148149	5.885416666666666	0.4019073569482289	2.7129337539432177	158.79377431906616	207.74946921443737	1.2238805970149254	0.024154589371980683	0.08064516129032258	17.272727272727273	9.052147239263805
2020-03-16	1.2727272727272727	11.640625	97.72727272727272	2.872340425531915	78.40707964601768	0.9496676163342829	8.283378746594005	4.0983606557377055	57.05633802816901	0.9146341463414634	28.11320754716981	150.86206896551727	1.1	48.54545454545454	80.9402985074627	58.289156626506035	30.934579439252328	3.9795918367346936	0.07175925925925926	0.44673539518900346	172.0740740740741	35.95744680851064	28.40909090909091	397.0198675496689	6.496408619313648	0.42570281124498	65.60693641618496	203.20754716981133	3.2637075718015667	22.68518518518519	7.239583333333332	0.4291553133514986	3.722397476340694	160.23346303501944	243.97027600849253	1.7014925373134329	0.21739130434782608	0.08064516129032258	21.075757575757574	11.576687116564415
2020-03-17	1.4772727272727273	14.6484375	115.45454545454544	3.8297872340425534	96.01769911504424	1.111111111111111	11.553133514986374	8.524590163934427	57.08661971830986	1.1585365853658538	32.452830188679236	160.68965517241378	1.26	49.45454545454545	99.0	72.43373493975903	32.89719626168224	5.1020408163265305	0.09645061728395063	0.5116456662848415	185.0740740740741	47.44680851063829	29.54545454545455	463.2450331125828	6.576217079010375	0.6586345381526104	81.67630057803468	220.56603773584905	4.6214099216710185	30.64814814814815	9.583333333333334	0.6335149863760219	4.195583596214512	161.86770428015566	297.1125265392781	2.6417910447761197	0.5676328502415459	0.13440860215053765	23.37878787878788	14.297546012269938
2020-03-18	1.7954545454545454	17.734375	151.36363636363637	3.8297872340425534	110.0	1.3817663817663821	15.504087193460489	10.983606557377048	57.10281690140845	1.321138211382114	40.943396226415096	176.55172413793102	1.66	58.0	115.3731343283582	86.21686746987952	36.16822429906542	5.1020408163265305	0.10570987654320987	0.6567392134402443	199.6172839506173	62.1276595744681	48.52272727272727	521.6225165562913	6.616121308858738	0.7469879518072289	98.55491329479769	246.79245283018867	6.214099216710182	41.481481481481474	11.302083333333336	0.7765667574931879	4.195583596214512	163.6770428015564	375.54140127388536	2.6417910447761197	1.1835748792270528	0.3763440860215054	29.54545454545455	19.714723926380366
2020-03-19	2.2045454545454546	22.0703125	187.04545454545456	4.893617021276596	131.50442477876106	2.032288698955366	18.801089918256128	13.005464480874315	57.13380281690141	2.073170731707317	49.24528301886792	192.24137931034485	1.96	67.0909090909091	136.32835820895522	98.77108433734942	39.065420560747654	7.448979591836735	0.12731481481481485	0.6567392134402443	214.33333333333331	77.87234042553192	49.20454545454545	591.274834437086	6.967278531524341	0.9477911646586346	118.55491329479769	268.49056603773585	7.493472584856397	59.444444444444436	13.541666666666664	1.0013623978201636	5.3943217665615135	166.63424124513617	461.4649681528662	2.6417910447761197	2.3067632850241546	0.510752688172043	39.84848484848485	28.880368098159515
2020-03-20	2.9090909090909087	27.6953125	249.54545454545456	6.0638297872340425	158.84955752212392	2.9487179487179485	23.051771117166208	18.688524590163933	57.203521126760556	2.6016260162601625	65.47169811320755	198.44827586206898	2.1	72.72727272727273	164.1044776119403	170.33734939759037	43.364485981308405	8.673469387755103	0.14737654320987656	0.8667430316914854	227.24691358024688	118.51063829787232	76.93181818181819	679.3874172185431	7.581803671189146	1.3172690763052208	142.19653179190755	292.8301886792453	9.26892950391645	72.68518518518519	14.427083333333332	1.3555858310626705	7.507886435331232	168.32684824902722	558.4713375796179	3.164179104477612	4.335748792270531	0.6989247311827956	49.65151515151515	43.711656441717786
2020-03-21	3.5909090909090913	34.140625	301.02272727272725	6.0638297872340425	199.73451327433628	4.2924976258309595	26.45776566757493	23.715846994535518	57.24014084507042	3.2113821138211383	85.28301886792455	216.3793103448276	2.56	81.81818181818181	188.23880597014926	219.12048192771084	46.261682242990645	10.510204081632654	0.17824074074074073	1.179839633447881	242.51851851851848	145.31914893617022	80.9090909090909	778.4933774834437	8.036711891460495	1.6305220883534135	173.06358381502892	328.6792452830189	11.096605744125323	94.44444444444444	16.041666666666664	1.7234332425068115	8.643533123028389	171.18677042801556	674.0976645435244	5.462686567164179	8.091787439613528	0.6989247311827956	60.34848484848485	60.19631901840491
